год,том,поэты,количество уникальных поэтов,страницы с поэзией,количество страниц с поэзией,процент страниц с поэзией,количество стихов,процент стихов от всех произведений
1965,1,"Искандер Фазиль, Окуджава Булат, Преловский Анатолий, Шефнер Вадим, Шкляревский Игорь",5,"20, 21, 22, 23, 24, 25, 26, 73, 107",9,"8,0",21,"45,7"
1965,2,"Коржиков Виталий, Куняев Станислав, Слуцкий Борис, Сулейменов Олжас, Цанев Стефан",5,"32, 33, 34, 35, 36, 37, 38, 68, 69",9,"8,0",30,"54,5"
1965,3,"Друнина Юлия, Казакова Римма, Кашежева Инна, Лиснянская Инна, Матвеева Новелла, Мориц Юнна, Невская Тамара, Тушнова Вероника, Чухонцев Олег",9,"4, 5, 6, 7, 8, 9, 10, 11, 12, 41, 42",11,"9,8",38,"62,3"
1965,4,Евтушенко Евгений,1,"27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67",41,"35,3",1,"3,3"
1965,5,"Берггольц Ольга, Бровка Петрусь, Ваншенкин Константин, Винокуров Евгений, Галкина Галка, Геловани Мирза, Гудзенко Семён, Друнина Юлия, Дудин Михаил, Карим Мустай, Кулиев Кайсын, Межелайтис Эдуардас, Наровчатов Сергей, Ревич Александр, Ринк Игорь, Светлов Михаил, Сергеев Владимир, Симонов Константин, Слуцкий Борис, Старшинов Николай, Сурков Алексей, Танк Максим, Тихонов Николай, Хелемский Яков, Хузангай Педер, Чернов Юрий",26,"3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 20, 21, 93, 111",14,"12,5",28,"57,1"
1965,6,"Ахмадулина Белла, Вознесенский Андрей, Дмитриев Олег, Евсеева Светлана, Евтушенко Евгений, Завальнюк Леонид, Заурих Алексей, Костров Владимир, Павлинов Владимир, Рождественский Роберт, Сухарев Дмитрий, Храмов Евгений",12,"30, 31, 32, 33, 34, 35, 43, 60, 61, 62, 63, 64, 65",13,"11,6",31,"51,7"
1965,7,"Ахматова Анна, Винокуров Евгений, Дементьев Андрей, Мартынов Леонид, Ряшенцев Юрий, Щипачёв Степан",6,"25, 26, 27, 28, 30, 50, 51, 56, 57, 58, 59",11,"9,8",49,"69,0"
1965,8,"Белкин Владилен, Ваншенкин Константин, Гагуа Хута, Доризо Николай, Искандер Фазиль, Матусовский Михаил, Пастернак Борис, Приходько Владимир",8,"28, 29, 30, 31, 32, 33, 34, 35, 60, 61, 64, 70, 71",13,"11,6",39,"54,9"
1965,9,"Гамзатов Расул, Заходер Борис, Коржавин Наум, Райнис Ян, Светлов Михаил",5,"29, 30, 31, 32, 58, 59, 60, 65, 66, 67, 68",11,"9,8",22,"48,9"
1965,10,"Боков Виктор, Злотников Натан, Константинов Евгений, Кулиев Кайсын, Матвеева Новелла, Солодарь Цезарь, Шаламов Варлам",7,"3, 4, 5, 6, 7, 42, 43, 44, 112",9,"8,0",37,"59,7"
1965,11,"Кугультинов Давид, Павлинов Владимир, Рождественский Роберт, Шатилов Николай, Щипачёв Степан",5,"3, 4, 5, 27, 28, 29, 64, 65",8,"7,1",17,"43,6"
1965,12,"Багучаров Александр, Баярамукова Халимат, Геловани Мирза, Дудин Михаил, Корнилов Владимир, Окуджава Булат, Смирнов Лев, Ушаков Николай",8,"8, 9, 10, 11, 12, 81, 82, 83",8,"7,1",26,"59,1"
1966,1,"Дамиан Ливиу, Евтушенко Евгений, Жигулин Анатолий, Мартынов Леонид",4,"48, 49, 50, 51, 52, 53, 54",7,"6,3",17,"44,7"
1966,2,"Белшевица Визма, Британишский Владимир, Вациетис Ояр, Глазов Григорий, Джалиль Муса, Дрофенко Сергей, Жданов Игорь, Львов Михаил, Николаев Александр, Селга Гунар",10,"16, 55, 56, 57, 58, 59, 69, 70, 71",9,"8,0",31,"54,4"
1966,3,"Дементьев Андрей, Дмитриев Олег, Дмоховский Александр, Кашежева Инна, Колесникова Юлиана, Коркина Алла, Костров Владимир, Куксов Юрий, Соложенкина Светлана, Старшинов Николай, Тимофеев Лев, Улуро Адо, Шевелева Тамара, Шкляревский Игорь",14,"3, 4, 41, 42, 43, 44, 45, 65, 66",9,"8,0",31,"58,5"
1966,4,"Ваншенкин Константин, Васильев Флор, Винокуров Евгений, Коротич Виталий, Костенко Лина, Лисянский Марк, Олейник Борис, Сынгаевский Микола, Фоняков Илья",9,"6, 17, 53, 54, 75, 76, 81, 82",8,"7,1",27,"54,0"
1966,5,"Безыменский Александр, Голодный Михаил, Доризо Николай, Карпеко Владимир, Колосов Марк, Кулиев Кайсын, Ойслендер Александр, Прасолов Алексей, Слуцкий Борис, Уткин Иосиф, Шаховский Борис",11,"36, 37, 38, 39, 45, 46, 69, 89, 90, 91",10,"8,9",32,"53,3"
1966,6,"Ахмадулина Белла, Бородулин Рыгор, Гордейчев Владимир, Казанцев Василий, Рубцов Николай, Рыленков Николай, Чухонцев Олег",7,"17, 18, 19, 20, 58, 59, 60",7,"6,3",25,"49,0"
1966,7,"Бардин Владимир, Голубков Дмитрий, Дмитриев Олег, Иоффе Сергей, Матвеева Новелла, Окуджава Булат, Смеляков Ярослав, Сухарев Валерий, Улзытуев Дондок",9,"24, 25, 26, 27, 33, 34, 39, 63, 64",9,"8,0",28,"52,8"
1966,8,"Евтушенко Евгений, Кушнер Александр, Мориц Юнна, Рождественский Роберт, Халил Зейнал, Шефнер Вадим",6,"2, 3, 4, 5, 43, 44, 45, 60, 65",9,"8,0",26,"66,7"
1966,9,"Беляев Михаил, Болквадзе Заур, Вейцман Марк, Габричидзе Нелли, Джансуг Чарквиани, Искандер Фазиль, Кахидзе Медея, Назаров Вячеслав, Нишнианидзе Шота, Поцхишвили Морис, Стуруа Лиа, Сухарев Дмитрий, Чантурия Тариэл, Чиладзе Тамаз, Шаламов Варлам, Щипачёв Степан",16,"4, 6, 7, 11, 12, 13, 14, 46, 47, 48",10,"8,9",30,"50,8"
1966,10,"Винокуров Евгений, Давыдов Сергей, Жамитдин Г., Завальнюк Леонид, Куняев Станислав, Лиснянская Инна, Попов Леонид",7,"4, 5, 6, 7, 8, 22, 52, 111",8,"7,1",30,"56,6"
1966,11,"Бабаджан Рамз, Багандов Газим-Бег, Беличенко Юрий, Вышеславский Леонид, Костюрин Диомид, Кудинов Михаил, Макеев Василий, Мартынов Леонид, Смирнов Виктор, Софронов Анатолий, Тараканова Лариса, Третьяков Анатолий, Шаповалов Михаил",13,"2, 3, 24, 25, 26, 44, 45, 68, 69, 111",10,"8,9",34,"61,8"
1966,12,"Бембеев Тимофей, Боков Николай, Гамзатов Расул, Гребнев Наум, Друнина Юлия, Злотников Натан, Инджиев Лиджи, Кронгауз Анисим, Преловский Анатолий",9,"2, 3, 4, 27, 28, 29, 30, 31, 32, 44",10,"8,9",33,"55,0"
1967,1,"Ахмадулина Белла, Гулям Гафур, Казакова Римма, Кулиев Кайсын, Львов Михаил, Щипачёв Степан",6,"38, 39, 62, 63, 64, 70, 71, 72",8,"7,1",26,"48,1"
1967,2,"Вьюнник Леонид, Коротич Виталий, Костров Владимир, Краснов Иван, Кузнецов Валентин, Плисецкий Герман, Сорока Леонид, Старшинов Николай, Филиппов Ростислав, Шкляревский Игорь",10,"2, 3, 11, 12, 13, 14, 15, 16, 17, 74",10,"8,9",35,"55,6"
1967,3,"Антошкин Евгений, Ваганова Любовь, Жирмунская Тамара, Кашежева Инна, Лакербай Юрий, Рабинович Вадим, Слепакова Нонна, Смирнов Юрий, Фатьянов Владислав, Фокина Ольга, Чиковани Симон",11,"2, 3, 4, 5, 6, 43, 57, 58",8,"7,1",28,"56,0"
1967,4,"Ботвинник Семён, Ваншенкин Константин, Жиенбаев Саги, Окуджава Булат, Слуцкий Борис, Трескунов Семён, Храмов Евгений, Хузангай Педер",8,"2, 3, 4, 5, 38, 39, 40, 41, 69",9,"8,0",35,"60,3"
1967,5,"Барто Агния, Винокуров Евгений, Дементьев Андрей, Завальнюк Леонид, Лотяну Эмиль, Твардовский Александр, Шаламов Варлам",7,"2, 3, 53, 54, 77, 81, 82",7,"6,3",18,"47,4"
1967,6,"Берггольц Ольга, Голубков Дмитрий, Зиновьев Николай, Кубатьян Георгий, Кулиев Кайсын, Тимофеевский Александр, Усенко Юрий",7,"41, 42, 43, 44, 66, 67",6,"5,4",25,"54,3"
1967,7,"Долматовский Евгений, Ливадитис Тасос, Мартынов Леонид, Мориц Юнна, Ушаков Николай",5,"23, 24, 25, 26, 54, 55, 56, 57, 58, 63, 64, 78",12,"10,7",44,"66,7"
1967,8,"Ветемаа Энн, Дудин Михаил, Козловский Яков, Руммо Пауль-Эрик, Ряшенцев Юрий, Старшинов Николай, Цыбин Владимир",7,"15, 16, 17, 18, 46, 47, 65, 66",8,"7,1",22,"46,8"
1967,9,"Ахмадулина Белла, Джансуг Чарквиани, Королева Нина, Куняев Станислав, Рождественский Роберт, Савельев Владимир, Семенов Глеб, Танк Максим",8,"3, 4, 5, 31, 32, 33, 34, 35, 36, 76",10,"8,9",27,"57,4"
1967,10,"Британишский Владимир, Дмитриев Олег, Кежун Бронислав, Курбаннепесов Керим, Марцинкявичюс Юстинас, Щипачёв Степан",6,"30, 31, 65, 66, 67, 68, 74, 75, 76",9,"8,0",27,"56,3"
1967,11,"Гамзатов Расул, Межелайтис Эдуардас, Михалков Сергей, Мухтар Аскад, Рыльский Максим, Сагиян Амо, Сурков Алексей",7,"3, 47, 48, 49, 57, 58, 59, 86, 87",9,"8,0",23,"52,3"
1967,12,"Маршак Самуил, Рождественский Роберт",2,"2, 3, 4, 5, 6, 7, 8, 50",8,"7,1",8,"36,4"
1968,1,"Евтушенко Евгений, Кугультинов Давид, Чухонцев Олег",3,"2, 7, 29, 30",4,"3,6",17,"50,0"
1968,2,"Ваншенкин Константин, Винокуров Евгений, Друнина Юлия, Дубровин Борис, Окуджава Булат, Урин Виктор",6,"11, 12, 18, 70, 71, 72",6,"5,4",28,"65,1"
1968,3,"Ахматова Анна, Балашов Эдуард, Ботвинник Семён, Векслер Ася, Гитович Александр, Казанцев Василий, Кашежева Инна, Кузовлева Татьяна, Потапенков Николай, Преловский Анатолий, Рубцов Николай, Смеляков Ярослав",12,"10, 11, 36, 66, 67, 68, 77, 78",8,"7,1",34,"54,0"
1968,4,"Абашидзе Григол, Амашукели Резо, Вышеславский Леонид, Дрофенко Сергей, Жигулин Анатолий, Завальнюк Леонид, Лисянский Марк, Нонешвили Иосиф, Чиладзе Отар",9,"2, 3, 46, 47, 52, 53, 54, 60",8,"7,1",30,"60,0"
1968,5,"Белкин Владилен, Берестов Валентин, Глазов Григорий, Доризо Николай, Емельянов Виктор, Мартынов Леонид, Мошковская Эмма, Слуцкий Борис, Хикмет Назым, Шаламов Варлам, Шкляревский Игорь",11,"23, 24, 25, 26, 27, 28, 48, 49, 50, 78, 82, 111",12,"10,7",66,"75,0"
1968,6,"Мориц Юнна, Сурков Алексей, Щипачёв Степан, Эмин Геворг, Яшин Александр",5,"35, 36, 37, 47, 48, 65, 66, 67, 68, 72",10,"8,9",19,"54,3"
1968,7,"Резник Валентин, Кузнецов Юрий, Петров Владимир, Насунов Джангар, Симоненко Василь, Савельев Иван, Лапин Владимир, Сенкевич Александр, Пирогова Наталья,  Петухов Анатолий, Коськов Лев, Марченко Эмма, Укачин Борис, Рогов Алексей, Гин Виктор, Азизов Альберт, Бармичев Валерий, Чапка Екатерина, Дымова Лорина, Ковда Вадим, Вассерман Ян, Рябинина Наталья, Мережников Николай, Бабаев Ибрагим, Юрков Олег, Миллер Лариса, Шамансур Юсуф, Потехина Ирина, Корниенко Владимир, Маркиш Давид, Краско Валерий, Рубин Валерий",32,"3, 4, 5, 6, 19, 20, 21, 51, 52, 53, 54",11,"9,8",32,"64,0"
1968,8,"Казакова Римма, Карим Мустай, Куняев Станислав, Рождественский Роберт, Шефнер Вадим",5,"12, 13, 14, 15, 26, 27, 65, 66, 67",9,"8,0",18,"40,0"
1968,9,"Бараташвили Николоз, Бровка Петрусь, Гамзатов Расул, Гордейчев Владимир, Джемс Паттерсон, Злотников Натан, Левитанский Юрий, Мухамед Садри, Сайяр",9,"9, 10, 39, 40, 66, 68, 69",7,"6,3",28,"63,6"
1968,10,"Боков Виктор, Вагабзаде Бахтияр, Садык Финрет, Слуцкий Борис, Степанюк Борислав",5,"9, 10, 11, 12, 56, 57, 59",7,"6,3",20,"48,8"
1968,11,"Барто Агния, Вегин Петр, Дементьев Андрей, Дмитриев Олег, Кербабаев Берды, Кушнер Александр, Семенов Глеб, Фоняков Илья, Храмов Евгений",9,"2, 3, 36, 37, 38, 39, 54, 65, 66",9,"8,0",9,"34,6"
1968,12,"Винокуров Евгений, Голубков Дмитрий, Марцинкявичюс Юстинас, Невская Тамара, Рыленков Николай, Хрилев Леонид",6,"20, 21, 22, 31, 32, 42, 59",7,"6,3",6,"26,1"
1969,1,"Бусуйок Аурелну, Ваншенкин Константин, Виеру Григоре, Жирмунская Тамара, Кодру Анатол, Кулиев Кайсын, Телеукэ Виктор, Цыбин Владимир",8,"19, 20, 61, 62, 63, 64, 65, 66",8,"7,1",33,"67,3"
1969,2,"Гагуа Хута, Друнина Юлия, Квливидзе Михаил, Кислик Наум, Мельников Юрий, Поленов Владимир, Сычев Виктор, Урин Виктор, Хорошавцев Геннадий",9,"2, 3, 4, 5, 21, 22, 23, 24",8,"7,1",23,"59,0"
1969,3,"Богучаров Александр, Васильева Лариса, Кузнецов Валентин, Мартынов Леонид, Озерова Ирина, Рождественский Роберт, Сангаджиева Бося, Шаламов Варлам, Шамкенов Аманжол",9,"40, 41, 42, 43, 44, 54, 58, 65, 66, 67",10,"8,9",40,"67,8"
1969,4,"Арипов Абдулла, Вахидов Эркин, Джаббаров Джуманиаз, Жигулин Анатолий, Лисянский Марк, Слуцкий Борис, Трескунов Семён",7,"2, 3, 4, 5, 6",5,"4,5",35,"66,0"
1969,5,"Ахмадулина Белла, Завальнюк Леонид, Лесин Александр, Мовчан Павло, Ржавский Иосиф, Ринк Игорь, Тарасова Марина, Шкляревский Игорь",8,"35, 36, 37, 48, 49, 50, 51, 64",8,"7,1",34,"63,0"
1969,6,"Аминов Магомед, Ахматова Анна, Головенчиц Михаил, Ряшенцев Юрий, Халупович Вадим, Шевелев Александр, Шкляринский Александр",7,"10, 11, 22, 23, 55, 65, 66, 67",8,"7,1",20,"44,4"
1969,7,"Глазков Николай, Данилов Семён, Дмитриев Олег, Ковальджи Кирилл, Мориц Юнна, Павлинов Владимир, Поженян Григорий, Сорин Семён",8,"42, 43, 44, 45, 46, 56, 57, 87",8,"7,1",27,"64,3"
1969,8,"Бурабкин Геннадий, Винокуров Евгений, Кашежева Инна, Козловский Яков, Левитанский Юрий, Пьянов Алексей",6,"40, 41, 42, 43, 44, 69, 70",7,"6,3",25,"64,1"
1969,9,"Бромберг Давид, Дрофенко Сергей, Жиенбаев Саги, Кугультинов Давид, Куняев Станислав, Рубцов Николай, Сухарев Дмитрий, Юшков Геннадий",8,"2, 41, 42, 43, 65, 66, 78, 91",8,"7,1",27,"62,8"
1969,10,"Барто Агния, Вегин Петр, Глазов Григорий, Мартынов Леонид, Смирнов Лев, Соколовский Александр, Токмагамбетов Аскар",7,"2, 3, 4, 35, 36, 37, 38, 39, 69",9,"8,0",20,"58,8"
1969,11,"Антошкин Евгений, Балтакис Альгимантас, Берестов Валентин, Васильев Флор, Вышеславский Леонид, Петонов Владимир, Шевелева Екатерина",7,"2, 3, 4, 65, 66, 67",6,"5,4",31,"63,3"
1969,12,"Доризо Николай, Злотников Натан, Марченко Эмма, Новиков Николай, Передреев Анатолий, Сагиян Амо",6,"29, 30, 31, 32, 33, 38, 80",7,"6,3",29,"64,4"
1970,1,"Акопян Акоп, Арский Павел, Васильева А., Виртанен Ялмари, Галактион Табидзе, Герасимов Михаил, Казакова Римма, Кешоков Алим, Малахов Сергей, Полетаев Николай, Рождественский Роберт, Сейфуллин Сакен, Табидзе Тициан",13,"4, 5, 6, 36, 37, 38, 39, 81, 82, 83",10,"8,9",28,"58,3"
1970,2,"Балин Александр, Белкин Владилен, Ваншенкин Константин, Векилов Мансур, Добронравов Николай, Кузовлева Татьяна, Марцинкявичюс Юстинас, Шлыгин Алексей",8,"2, 3, 28, 29, 30, 83, 84, 85",8,"7,1",27,"62,8"
1970,3,"Брехт Бертольт, Броневский Владислав, Гидаш Антал, Мартынов Леонид, Незвал Витезслав, Рывлин Аркадий, Терёхин Леонид, Хикмет Назым, Хыу То, Хьюз Ленгстон",10,"2, 3, 4, 37, 38, 71, 72, 73, 74",9,"8,0",29,"58,0"
1970,4,"Демидов Владимир, Жалсараев Дамба, Коржиков Виталий",3,"11, 34, 35, 36",4,"3,6",4,"20,0"
1970,5,"Барто Агния, Боков Виктор, Друнина Юлия, Каменецкий Юрий, Касаткин Михаил, Львов Михаил, Поперечный Анатолий, Проталин Валентин, Слуцкий Борис, Урин Виктор",10,"2, 3, 30, 31, 32, 33, 49, 61, 62, 63",10,"8,9",40,"61,5"
1970,6,"Бровка Петрусь, Винокуров Евгений, Дракохруст Александр, Калиниченко Владимир, Кравченко Игорь, Кулиев Кайсын, Медведев Александр, Мустафин Камиль",8,"2, 3, 4, 5, 38, 39, 65, 72",8,"7,1",28,"52,8"
1970,7,"Бернотас Альбинас, Гевелинг Александр, Дегутите Янина, Жигулин Анатолий, Костров Владимир, Латынин Леонид, Малдонис Альфонсас, Мориц Юнна, Шаламов Варлам, Шкода Вадим",10,"6, 7, 8, 9, 49, 61, 62, 69, 70",9,"8,0",39,"63,9"
1970,8,"Алиева Фазу, Амашукели Реваз, Ахмадулина Белла, Досталь Андрей, Кузовлева Татьяна, Кумратова Кельдихан, Левитанский Юрий, Саакян Арамаис, Сухарев Дмитрий, Сынгаевский Микола, Чуев Феликс, Шкляревский Игорь",12,"41, 42, 43, 49, 50, 51, 71, 72, 78",9,"8,0",29,"59,2"
1970,9,"Вагабзаде Бахтияр, Вознесенский Андрей, Годжа Фикрет, Кашежева Инна, Кюрчайлы Алиага, Тюкавин Иосиф, Фаик Мамед, Шефнер Вадим",8,"31, 32, 33, 42, 43, 44, 45, 46, 47, 71, 75, 81",12,"10,7",24,"52,2"
1970,10,"Берестов Валентин, Вегин Петр, Глазов Григорий, Дмитриев Олег, Казанцев Василий, Кропоткин Лев, Куняев Станислав, Танк Максим",8,"5, 6, 32, 38, 42, 43, 44, 62, 63",9,"8,0",39,"60,9"
1970,11,"Васильев Флор, Козловский Яков, Кузнецов Вадим, Кушнер Александр, Леонович Владимир, Павлычко Дмитро, Петренко Софья, Рябикин Арсений, Тарасов Николай, Чумаченко Иван",10,"2, 3, 4, 34, 35, 36, 56, 57, 78, 96, 99",11,"9,8",38,"63,3"
1970,12,"Аким Яков, Басуматрова Светлана, Голубков Дмитрий, Дрофенко Сергей, Иванов Александр, Кузнецов Валентин, Нестерова Елена, Новиков Николай, Нуруллаева Гульчехра, Остер Григорий, Ряшенцев Юрий, Савельев Владимир, Федорин Игорь",13,"2, 3, 40, 41, 42, 43, 51, 52, 53, 66, 67, 97, 106, 107",14,"12,5",51,"72,9"
1971,1,"Андреев Леонид, Антонов Вадим, Бердников Алексей, Бериашвили Бердия, Величанский Александр, Герасимов Олег, Гусаров Михаил, Гуткина Ася, Дубровкина Юлия, Жуков Александр, Картмазов Марат, Ковда Вадим, Курганов Сергей, Межирова Зоя, Одинцова Лада, Озеров Алексей, Петров Владимир, Портнягин Эрнст, Рогов Алексей, Смирнов Валентин, Топоровский Ян, Фархади Раим, Хромов Александр, Чеботарев Валерий, Шленский Владимир",25,"3, 4, 5, 6, 30, 31, 32, 33, 59, 65, 66, 67, 68, 84",14,"12,5",51,"68,9"
1971,2,"Балин Александр, Воронов Юрий, Кислик Наум, Кулиев Кайсын, Наровчатов Сергей, Ржавский Иосиф, Хелемский Яков, Хорошавцев Геннадий, Цакунов Олег",9,"19, 20, 21, 22, 49, 50, 51, 61, 65, 66",10,"8,9",26,"65,0"
1971,3,"Вальшонок Зиновий, Джемс Паттерсон, Калашников Геннадий, Мулдагалкев Джубан, Рождественский Роберт, Саакян Арамаис, Урин Виктор, Фархади Раим",8,"5, 6, 26, 27, 28, 29, 30, 94",8,"7,1",15,"55,6"
1971,4,"Бубнов Геннадий, Демидов Владимир, Жирмунская Тамара, Житинский Александр, Лисянский Марк, Лучковский Евгений, Мартынов Леонид, Романова Мария, Смирнов Юрий, Фролов Геннадий, Шамансур Юсуф",11,"12, 13, 14, 15, 30, 31, 32, 64",8,"7,1",28,"68,3"
1971,5,"Ваншенкин Константин, Долматовский Евгений, Друнина Юлия, Заурих Алексей, Квливидзе Михаил, Львов Михаил, Межиров Александр, Поперечный Анатолий, Порчхидзе Шалва, Торайгыров Султанмахмут",10,"14, 15, 16, 20, 21, 22, 60, 61, 82",9,"8,0",33,"62,3"
1971,6,"Боцу Павел, Даганов Абдулла, Доризо Николай, Завальнюк Леонид, Касаткин Михаил, Николаевская Елена, Смирнов Виктор, Соложенкина Светлана, Широков Виктор",9,"4, 23, 24, 25, 65, 70",6,"5,4",23,"50,0"
1971,7,"Белкин Владилен, Богучаров Александр, Гордейчев Владимир, Дементьев Андрей, Злотников Натан, Зумакулова Танзиля, Искандер Фазиль, Ковальджи Кирилл, Кружков Григорий, Куняев Станислав, Синельников Михаил, Храмов Евгений, Шкляревский Игорь",13,"31, 32, 33, 50, 51, 52, 56, 57, 58, 63, 70, 71, 79",13,"11,6",47,"69,1"
1971,8,"Антокольский Павел, Корнилов Владимир, Кручениюк Петря, Мовчан Павло, Невская Тамара, Окуджава Булат, Проталин Валентин, Рецептер Владимир, Рубцов Николай, Соколов Владимир, Суворина Екатерина, Ульянова Ираида, Шаповалов Михаил",13,"25, 26, 27, 48, 49, 50, 51, 52, 70, 77, 85",11,"9,8",35,"62,5"
1971,9,"Винокуров Евгений, Дрофенко Сергей, Козловский Яков, Коротаев Виктор, Ласуриа Мушни, Ревич Александр, Слуцкий Борис",7,"18, 19, 20, 21, 61, 62, 63, 64",8,"7,1",36,"70,6"
1971,10,"Белявская Вера, Ботвинник Семён, Голубков Дмитрий, Данилов Семён, Дмитриев Олег, Иванова Анна, Костюрин Диомид, Кочармин Николай, Рахманин Борис, Тряпкин Николай, Шерали Лоик, Шефнер Вадим",12,"2, 3, 15, 16, 17, 48, 49, 50, 51, 77",10,"8,9",35,"55,6"
1971,11,"Городницкий Александр, Коськов Лев, Павлинов Владимир, Пинчук Игорь, Рождественский Роберт, Роя Инара, Сухарев Дмитрий, Темин Леонид, Чуев Феликс, Шаламов Варлам",10,"50, 51, 52, 62, 63, 64, 65, 86, 89",9,"8,0",27,"65,9"
1971,12,"Алиханов Сергей, Ахматова Анна, Балашов Эдуард, Беляев Михаил, Вышеславский Леонид, Гринин Семён, Дариенко Петря, Кашежева Инна, Красавец Евгений, Латынин Леонид, Матвеева Новелла, Ошанин Лев, Пашков Юрий",13,"3, 4, 11, 12, 13, 52, 53, 62, 63, 64, 91",11,"9,8",35,"62,5"
1972,1,"Вознесенский Андрей, Герасимов Виктор, Година Николай, Грачёв Николай, Ефремов Евгений, Иванцов Герасим, Кац Генрих, Ковалев Константин, Кравченко Анатолий, Лавринович Владимир, Мнацаканян Сергей, Нысаналин Аян, Пахомов Виктор, Петрова Елена, Поликутин Евгений, Портнов Владимир, Поярков Игорь, Рязанова Алла, Смертина Татьяна, Таран Лев, Телегина Валентина, Титов Анатолий, Фенев Александр, Хубиев Назир, Щеглов Лев, Щербинский Николай",26,"3, 34, 35, 36, 37, 38, 41, 42, 43, 44, 48, 49, 50, 58, 68, 69, 70, 92",18,"16,1",52,"65,8"
1972,2,"Дементьев Андрей, Друнина Юлия, Карпеко Владимир, Коростылёва Валентина, Кулиев Кайсын, Мориц Юнна, Ряшенцев Юрий, Ушаков Николай, Фоос Юрий",9,"8, 9, 10, 52, 53, 59, 60, 61, 62, 93, 101",11,"9,8",39,"66,1"
1972,3,"Андреева Галя, Бедюров Бронтой, Бек Татьяна, Гевелинг Александр, Дружков Николай, Ззизов Курбаннахар, Коротич Виталий, Кушнер Александр, Михайлик Юрий, Михайлов Игорь, Михановский Владимир, Наровчатова Ольга, Озеров Лев, Смирнов Лев, Шкляревский Игорь",15,"2, 7, 8, 9, 35, 36, 37, 62, 63, 64",10,"8,9",33,"64,7"
1972,4,"Вознесенский Андрей, Евтушенко Евгений, Леонидзе Георгий, Мауленов Сырбай, Шаламов Варлам",5,"29, 30, 31, 32, 33, 58, 59, 60, 61, 69",10,"8,9",21,"56,8"
1972,5,"Дубровин Борис, Казанцев Василий, Прасолов Алексей, Савельев Владимир, Слуцкий Борис, Смеляков Ярослав, Старшинов Николай, Тарасов Николай, Чернов Юрий",9,"2, 3, 4, 28, 29, 30, 70, 81, 82",9,"8,0",35,"66,0"
1972,6,"Богучаров Александр, Боков Виктор, Ваншенкин Константин, Васильев Флор, Выборов Константин, Евсеева Светлана, Капутикян Сильва, Кузнецов Валентин, Лапцуй Леонид, Мартынов Леонид, Хожаназаров Улмамбет, Шевелев Александр",12,"42, 43, 44, 45, 56, 57, 58, 85, 96",9,"8,0",41,"61,2"
1972,7,"Бурабкин Геннадий, Гриезане Мара, Долинский Даниил, Карапетян Бабкен, Кислик Наум, Костров Владимир, Люшнин Григорий, Озеров Лев, Сухарев Дмитрий, Фоняков Илья, Щуплов Александр",11,"2, 12, 13, 32, 58, 59, 60, 63, 64, 65, 66, 67, 68, 92, 99",15,"13,4",41,"68,3"
1972,8,"Векилов Мансур, Дмитриев Олег, Кашежева Инна, Козловский Яков, Кузнецов Вадим, Кулиев Кайсын, Куняев Станислав, Мамытов Жолон, Улзытуев Дондок",9,"2, 3, 11, 12, 13, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 83, 84, 85",21,"18,8",35,"62,5"
1972,9,"Аксельрод Елена, Балин Абдужабор, Винокуров Евгений, Демидов Владимир, Кежун Бронислав, Коржиков Виталий, Кравцов Альберт, Кузовлева Татьяна, Лисянский Марк, Мелехин Павел, Рождественский Роберт, Саидов Алирза, Танк Максим, Фархади Раим",14,"11, 13, 14, 41, 42, 43, 44, 51, 52, 53, 54, 69",12,"10,7",40,"90,9"
1972,10,"Бардин Владимир, Злотников Натан, Медведев Александр, Мовчан Павло, Новруз Джабир, Парве Ральф, Чикатуев Минаэль",7,"29, 30, 31, 58, 59, 60, 91, 92, 93, 94, 103",11,"9,8",23,"54,8"
1972,11,"Белкин Владилен, Бериашвили Бердия, Глазов Григорий, Зумакулова Танзиля, Латынин Леонид, Левитанский Юрий, Львов Михаил, Мочос Яннис, Созаев Ахмат, Флёров Николай",10,"2, 29, 30, 31, 32, 52, 53, 63, 69",9,"8,0",29,"48,3"
1972,12,"Бромберг Давид, Вациетис Ояр, Вьюнник Леонид, Гамзатов Расул, Гулям Хамид, Дагуров Владимир, Исаковский М., Коротич Виталий, Кулиев Кайсын, Кумисбаев Утеген, Михайлов Игорь, Новиков Николай, Сеидов Мамед, Тальтс Яан, Файзулло Хабибулло, Хабибулло",16,"8, 26, 27, 28, 40, 41, 50, 51, 76, 77, 87, 90",12,"10,7",44,"61,1"
1973,1,"Гуринович Валерий, Даминов Дим, Дахие Макс, Дмитриев Николай, Евпатов Владимир, Кереселидзе Мтвариса, Коркия Виктор, Кочетов Владимир, Лысенко Геннадий, Пузырев Эдуард, Рыков Василий, Савостин Николай, Санина Рина, Сафиева Гулрухсор, Симкин Сэм, Тихменева Елена",16,"2, 3, 4, 44, 45, 56, 59, 60, 74, 75, 76",11,"9,8",43,"64,2"
