год,том,поэты,количество уникальных поэтов,страницы с поэзией,количество страниц с поэзией,процент страниц с поэзией,количество стихов,процент стихов от всех произведений
1957,12,"Босиков Николай, Гоголев Иван, Данилов Семён, Лиснянская Инна, Марьямов А., Олейников А., Ошанин Лев, Петраков Михаил, Тобуроков Петр, Щербинин Михаил",10,"36, 37, 47, 48, 49, 59",6,"5,2",14,"38,9"
1958,1,"Бунин Иван, Гамзатов Расул, Дубровин Борис, Корюн Мкртич, Марков Сергей, Матеу Хулио, Старшинов Николай, Тарасенко Л., Черноморцев Лев, Шаховский Борис",10,"3, 4, 21, 27, 31, 32, 88, 112",8,"7,1",11,"33,3"
1958,2,"Артамонов Сергей, Гончаров Виктор, Доризо Николай, Заходер Борис, Коваленков Александр, Лифшиц Владимир, Наровчатов Сергей, Островой Сергей, Свирин Владимир, Смирнов Сергей, Старшинов Николай, Суслович Никита",12,"3, 4, 17, 18, 24, 50, 68, 69, 97, 108, 109, 112",12,"10,7",13,"44,8"
1958,3,"Берестов Валентин, Григорьева Вера, Иодковский Эдмунд, Кахидзе Медея, Мачавариани М., Темпест Питер, Халваши Фридон",7,"24, 25, 26, 47, 73",5,"4,5",11,"30,6"
1958,4,"Боков Виктор, Вознесенский Андрей, Мурзиди Константин, Ржавский Иосиф, Храмов Евгений",5,"8, 9, 51, 82",4,"3,6",9,"40,9"
1958,5,"Дхаван Прем, Найдич Михаил, Рождественский Роберт, Рыленков Николай",4,"3, 25, 32, 33, 64, 65",6,"5,4",4,"15,4"
1958,6,"Агеев Николай, Виноградов Виктор, Лисянский Марк, Мартынов Леонид, Ошанин Лев, Эмин Геворг",6,"26, 31, 32, 62, 86",5,"4,5",11,"26,2"
1958,7,"Гринин Семён, Дмитриев Олег, Жданов Игорь, Ким Ляско, Коршунов Евгений, Костров Владимир, Кузьмина Маргарита, Медведева Надежда, Мельников Юрий, Полежаева Надежда, Поперечный Анатолий, Пуцыло Борис, Саркисян Гарик, Столяров Валентин, Шаферан Игорь, Щербак Юрий",16,"4, 5, 6, 7, 8, 9, 10, 11, 12, 73",10,"8,9",28,"50,9"
1958,8,"Габоева Зоя, Жичка Федор, Кугультинов Давид, Павлинов Владимир, Шесталов Иван",5,"7, 8, 13",3,"2,7",9,"25,0"
1958,9,"Аль-Баяти, Белявская Вера, Кадокура Вакэ, Кика Мэри, Кэ Чжун-пин, Левушкин Анатолий, Мурси Ахмад, Орлов Василий, Островой Сергей, Папков Константин, Танака Камэтаро, Ту Ань  (Китай)",12,"5, 6, 7, 94, 95, 104",6,"4,7",14,"41,2"
1958,10,"Безыменский Александр, Лифшиц Владимир, Смеляков Ярослав",3,"2, 7, 8, 128",4,"3,1",3,"7,1"
1958,11,"Бабаев В., Виноградов Виктор, Гришин М., Казанцев Василий, Карл Маркс, Коржиков Виталий, Лифшиц Владимир, Мерзликин Л., Молчанов Иван, Найдич Михаил, Пашнев Эдуард, Полякова Надежда, Рыленков Николай, Соколов Владимир, Суслович Никита, Танин Яков, Чиков Анатолий, Щелоков Юрий",18,"3, 4, 5, 6, 7, 24, 56, 66, 70, 93, 126, 127",12,"9,4",28,"54,9"
1958,12,"Бейлин А., Берсенева Р., Братский А., Васильев Сергей, Войнович В., Гончаров Н., Недорезов И., Орлов Борис, Осипов Юрий, Сорин Семён, Урушева Лидия, Фёдорова Аида, Шаховский Борис, Ярков Влас",14,"25, 26, 27, 28, 29, 64, 67, 68, 75, 123",10,"7,8",23,"57,5"
1959,1,"Артамонов Ростислав, Бернс Роберт, Григорьева Вера, Гринин Семён, Дубровин Борис, Евтушенко Евгений, Любомская Елена, Медведева Надежда, Павлинов Владимир, Порядин В., Саркисян Гарик, Старшинов Николай, Храмов Евгений, Шаховский Борис",14,"40, 68, 69, 70, 71, 72, 78, 86, 96, 104, 112",11,"9,8",19,"52,8"
1959,2,"Вязовой Юрий, Мартынов Леонид, Мельников Юрий, Петухов Виктор, Пуппо Игорь, Хелемский Яков, Шаховский Борис, Юхимович Василий",8,"3, 4, 56, 57, 63, 64, 65, 101",8,"7,1",12,"40,0"
1959,3,"Виноградов Виктор, Гольский Е., Кириллин Борис, Краснов Николай, Рождественский Роберт, Столяров Валентин",6,"3, 41, 63, 64, 74",5,"4,5",9,"36,0"
1959,4,"Башев Владимир, Власов Николай, Левчев Любомир, Муртазов Борис, Овезбердыев Сапармурад, Павлинов Владимир, Рабаданов Сулейман, Станишев Крысто",8,"3, 22, 23, 24, 50, 71, 72, 73, 74",9,"8,0",10,"27,8"
1959,5,"Айтмуратов Даулен, Вавилин Михаил, Варно В., Иванов Григорий, Ковенацкий В., Мурзиди Константин, Подмогильный А., Радкевич Владимир, Рыленков Николай, Рязанов Павел",10,"3, 4, 23, 42, 47, 65, 66, 67, 68, 85, 97, 98",12,"10,7",11,"33,3"
1959,6,"Берестов Валентин, Виноградов Виктор, Кржижановский Г. М., Минин Д., Телеукэ Виктор",5,"3, 55, 62, 63, 64, 66, 67",7,"6,3",5,"22,7"
1959,7,"Братский А., Еремеев Г., Павлинов Владимир, Петров Юрий, Рахманин Борис, Ткачев С.",6,"49, 64, 65",3,"2,7",8,"30,8"
1959,8,"Вознесенский Андрей, Григорьева Вера, Шефнер Вадим",3,"66, 72",2,"1,8",6,"21,4"
1959,9,"Гамзатов Расул, Дмитриев Олег, Корнеев Артур, Морев Юрий, Хабинский Марк",5,"3, 30, 31, 69",4,"3,6",7,"43,8"
1959,10,"Аквилев Анатолий, Боков Виктор, Мартынов Леонид, Миронов Вадим, Сельвинский Илья, Сиротин Борис, Ушаков Николай",7,"32, 33, 72, 73, 74",5,"4,5",16,"57,1"
1959,11,"Дубровин Борис, Костров Владимир, Мальц Владимир, Сиротин Борис",4,"3, 4, 46, 55, 56, 57",6,"5,4",11,"37,9"
1959,12,"Дмитриев Олег, Евтушенко Евгений, Сорин Семён",3,"24, 25, 26, 27, 28, 95, 112",7,"6,0",20,"57,1"
1960,1,"Крепин Марат, Кряквин Евгений, Маршак Самуил, Сорин Семён",4,"44, 54, 55, 56, 57, 58, 59, 60, 79",9,"8,0",4,"18,2"
1960,2,"Дрофенко Сергей, Евтушенко Евгений, Костров В., Самуруков В., Сорин Семён",4,"3, 4, 50, 87",4,"3,6",6,"28,6"
1960,3,"Балкарова Ф., Борисова Майя, Демыкина Галина, Кашежева Инна, Рождественский Роберт",5,"2, 3, 4, 5, 6, 28, 29",7,"6,3",17,"47,2"
1960,4,"Дмитриев Олег, Лискер Виктор, Павлинов Владимир, Сорин Семён",4,"5, 6, 14",3,"2,7",10,"30,3"
1960,5,"Ахмадулина Белла, Грибачёв Николай, Дегутите Янина, Кирсанов Семен, Павлинов Владимир",5,"2, 3, 66, 67, 72, 73",6,"5,4",14,"42,4"
1960,6,"Гринин Семён, Карпов Николай, Куняев Станислав, Леванский Владимир, Лысцов Иван, Назаров Вячеслав, Никитина Тамара, Савельев Владимир, Синицын Евгений, Сухарев Дмитрий, Шкода Вадим",11,"46, 47, 48, 49, 50, 51, 52",7,"6,3",17,"42,5"
1960,7,"Долматовский Евгений, Казакова Римма, Раскин А., Рыленков Николай, Шефнер Вадим",5,"48, 49, 50, 51, 52, 53, 112",7,"6,3",21,"53,8"
1960,8,"Долматовский Евгений, Ильин Евгений, Крутецкий В., Кучинский Евгений, Мориц Юнна, Полякова Надежда, Храмов Евгений",7,"20, 21, 22, 23, 24, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 111",17,"15,2",40,"78,4"
1960,9,"Антонов Иван, Вознесенский Андрей, Сухарев Дмитрий, Чуев Феликс",4,"54, 55, 56, 63, 71",5,"4,5",13,"46,4"
1960,10,"Дмитриев Олег, Евсеева Светлана, Жирмунская Татьяна, Кашежева Инна, Матвеева Новелла, Рождественский Роберт",6,"42, 43, 45, 46, 47, 48, 49, 69",8,"7,1",27,"64,3"
1960,11,"Доризо Николай, Семернин Вадим, Сорин Семён",3,"11, 12, 13, 14, 36, 37, 111",7,"6,3",14,"45,2"
1960,12,"Дмитриев Пётр, Евтушенко Евгений, Костров Владимир, Харитонов Роман, Шефнер Вадим",5,"3, 4, 5, 6, 7, 24, 25, 54, 109",9,"8,0",22,"44,0"
1961,1,"Лиснянская Инна, Львов Михаил, Старшинов Николай",3,"48, 49, 50, 51",4,"3,6",14,"46,7"
1961,2,"Киреев Р., Рождественский Роберт, Смирнов Лев, Шаховский Борис",4,"28, 29, 30, 31, 32, 33, 34, 35, 52, 111",10,"8,9",6,"20,7"
1961,3,"Алигер Маргарита, Коржиков Виталий, Павлинов Владимир, Сорин Семён, Стефанович Борис, Храмов Евгений",6,"1, 2, 45, 46, 47, 48, 49, 50, 76",9,"8,0",14,"43,8"
1961,4,"Арго А., Богданов О., Боков Виктор, Винокуров Евгений, Вознесенский Андрей, Гордейчев Владимир, Дмитриев Олег, Долматовский Евгений, Доризо Николай, Дрофенко Сергей, Друнина Юлия, Дубровин Борис, Евсеева Светлана, Евтушенко Евгений, Жигулин Анатолий, Иодковский Эдмунд, Кашежева Инна, Кашпуров И., Ковалев Д., Костров В., Самуруков В., Кузнецов Вадим, Кулемин В., Кучинский Евгений, Лиснянская Инна, Лисянский Марк, Львов Михаил, Мартынов Леонид, Мориц Юнна, Мурзиди Константин, Ошанин Лев, Парфентьев Виктор, Петров Геннадий, Прокофьев Александр, Рыленков Николай, Слуцкий Борис, Соколов Владимир, Солохин В., Софронов Анатолий, Сурков Алексей, Сухарев Валерий, Татьяничева Л., Терещенко Дина, Тушнова Вероника, Ушаков Николай, Хакимов Р., Халупович И., Цыбин Владимир, Шефнер Вадим, Щербак Юрий, Якушев Н.",50,"2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16",15,"13,4",50,"75,8"
1961,5,"Берестов Валентин, Друнина Юлия, Евтушенко Евгений, Прокофьев Александр, Субботин М.",5,"2, 41, 42, 43, 44, 45, 74, 85",8,"7,1",19,"39,6"
1961,6,"Ваншенкин Константин, Карпов Игорь, Касьянов Николай, Кучинский Евгений, Кушнер Александр, Леванский Владимир, Луговой Владимир, Мелехин Павел, Рахманин Борис, Рябчиков Г., Сатуновская Е., Темин Леонид",12,"1, 2, 35, 36, 37, 38, 39, 40, 41, 58",10,"8,9",36,"62,1"
1961,7,"Акаев Кубанычбек, Бадаев Алексей, Барто Агния, Боков Виктор, Бровка Петрусь, Вольский Артур, Гагуа Хута, Гринчак Василь, Давыдов Василий, Ерикеев Ахмед, Квливидзе Михаил, Кинжебулатова Катиба, Крома Монта, Ледков Василий, Малышко Андрей, Муртазов Борис, Немтушкин Алитет, Овезбердыев Сапармурад, Попов Владимир, Расул Рза, Рыльский Максим, Ханфенов Алим, Шахтаманов Омар Гаджи, Шмань Геннадий, Шогенцуков Адам",25,"25, 26, 27, 28, 29, 30, 31, 32, 67, 68, 112",11,"9,8",27,"65,9"
1961,8,"Дементьев Андрей, Кашежева Инна, Костров Владимир, Прокофьев Александр, Соколова Валерия",5,"15, 16, 25, 26, 44, 66, 75",7,"6,3",21,"48,8"
1961,9,"Асламов Михаил, Дмитриев Олег, Долматовский Евгений, Доризо Николай, Дрофенко Сергей, Костров Владимир, Лисянский Марк, Павлинов Владимир, Румарчук Лариса, Храмов Евгений",10,"5, 37, 38, 39, 49, 50, 55, 56, 57, 70, 71, 91, 92",13,"11,6",26,"49,1"
1961,10,"Долматовский Евгений, Заяц Анатолий, Иодковский Эдмунд, Кузнецов Валентин, Луговой Владимир, Молодяков Вячеслав, Наумов Юрий, Рождественский Роберт, Сорин Семён, Халупский Игорь",10,"9, 10, 46, 47, 48, 49, 85, 86",8,"7,1",15,"44,1"
1961,11,"Виноградов Виктор, Долинский Даниил, Карабчиевский Ю., Кашежева Инна, Коршунов Анатолий, Мартынов Леонид, Мориц Юнна, Петров Юрий, Рахманин Борис",9,"2, 3, 19, 69, 70, 71, 82, 83, 84",9,"8,0",19,"63,3"
1961,12,"Винокуров Евгений, Гамзатов Расул, Евтушенко Евгений, Коржиков Виталий, Кузовлева Татьяна, Рывлин Аркадий",6,"30, 50, 51, 52, 53, 65, 66",7,"6,3",25,"56,8"
1962,1,"Алшутов Александр, Дмитриев Олег, Доризо Николай, Корнилов Борис, Костров Владимир, Левитанский Юрий, Маркин Евгений, Парфентьев Виктор, Передреев Анатолий, Светлов Михаил, Флоров Герман",11,"3, 23, 24, 25, 26, 52, 60, 61, 62, 65, 66",11,"9,8",29,"61,7"
1962,2,"Ахмадулина Белла, Божилов Божидар, Ваншенкин Константин, Вегин Петр, Долматовский Евгений, Дубровин Борис, Мартынов Леонид, Слуцкий Борис",8,"3, 4, 5, 31, 38, 39, 40, 41, 72",9,"8,0",25,"59,5"
1962,3,"Друнина Юлия, Жирмунская Тамара, Казакова Римма, Кулиев Кайсын, Лиснянская Инна, Матвеева Новелла, Румарчук Лариса, Старшинов Николай",8,"28, 29, 30, 31, 32, 35, 50, 51, 81, 112",10,"8,9",27,"58,7"
